kartez,family,genus,sp_epithet,subspecies_variety,common_name,Native,PhotoPath,LifeHistory,FunctionalGroup
PSLA3,Fabaceae,Psoralidium,lanceolatum,,salty popcornflower,y,C3,p,f
PSSC6,Fabaceae,Psorothamnus,scoparius,,broom dalea,y,C3,p,s
PSSP,Asteraceae,Psilostrophe,sparsiflora,,greenstem paperflower,y,C3,p,f
PSSPI,Poaceae,Pseudoroegneria,spicata,var. inermis,beardless wheatgrass,y,NA,p,g
PSSPS,Poaceae,Pseudoroegneria,spicata,subsp. spicata,bluebunch wheatgrass,y,NA,p,g
PSTA,Asteraceae,Psilostrophe,tagetina,,woolly paperflower,y,NA,p,f
PSTAT,Asteraceae,Psilostrophe,tagetina,var. tagetina,woolly paperflower,y,C3,p,f
PTTRA,Rutaceae,Ptelea,trifoliata,subsp. angustifolia ,common hoptree,y,C3,p,t
QUERC,Fagaceae,Quercus,NA,,oak,NA,C3,p,t
QUPA,Fagaceae,Quercus,palaeolithicola,,hybrid oak,y,C3,p,t
QUTU2,Fagaceae,Quercus,turbinella,,Sonoran scrub oak,y,C3,p,t
RACO3,Asteraceae,Ratibida,columnifera,,upright prairie coneflower,y,C3,p,f
RANE,Asteraceae,Rafinesquia,neomexicana,,NA,y,C3,a,f
RARA2,Brassicaceae,Raphanus,raphanistrum,,wild radish,n,C3,a,f
RATA,Asteraceae,Ratibida,tagetes,,green prairie coneflower,y,C3,p,f
REAR,Euphorbiaceae,Reverchonia,arenaria,,sand reverchonia,y,C3,a,f
RHMI3,Anacardiaceae,Rhus,microphylla,,littleleaf sumac,y,C3,p,s
RHTR,Anacardiaceae,Rhus,trilobata,,skunkbush sumac,y,C3,p,s
RHTRP,Anacardiaceae,Rhus,trilobata,var. pilosissima,pubescent squawbush,y,C3,p,s
RILE,Grossulariaceae,Ribes,leptanthum,,trumpet gooseberry,y,C3,p,s
ROIS2,Brassicaceae,Rorippa,islandica,,northern marsh yellowcress,n,C3,a,f
ROPA2,Brassicaceae,Rorippa,palustris,,bog yellowcress,y,C3,p,f
