year,month,pdsi
1997,5,-0.8
1997,6,-0.21
1997,7,-0.27
1997,8,-1.05
1997,9,0
1997,10,-1.18
1997,11,-0.99
1997,12,0.98
1998,1,0.29
1998,2,0.53
1998,3,0.92
1998,4,0.56
1998,5,-0.27
1998,6,-0.89
1998,7,-0.08
1998,8,-1.29
1998,9,0
1998,10,1.02
1998,11,1.27
1998,12,0.78
1999,1,-0.11
1999,2,-1.68
1999,3,-1.94
1999,4,-2.14
1999,5,-2.25
1999,6,-1.14
1999,7,0.46
1999,8,1.52
1999,9,0
1999,10,0.86
1999,11,-0.5
1999,12,-0.73
2000,1,-1.87
2000,2,-2.63
2000,3,-2.65
2000,4,-2.97
2000,5,-3.41
2000,6,2.13
2000,7,1.42
2000,8,0.57
2000,9,0
2000,10,-1.08
2000,11,1.25
2000,12,0.77
2001,1,0.89
2001,2,0.67
2001,3,0.6
2001,4,0.14
2001,5,-0.16
2001,6,-0.66
2001,7,-1.82
2001,8,-2.33
2001,9,0
2001,10,-3.39
2001,11,-3.41
2001,12,-3.57
2002,1,-3.55
2002,2,-2.69
2002,3,-2.69
2002,4,-3.07
2002,5,-3.11
2002,6,-3.37
2002,7,-2.41
2002,8,-2.96
2002,9,0
2002,10,-2.54
2002,11,-2.67
2002,12,-1.41
2003,1,-1.86
2003,2,0.27
2003,3,0.86
2003,4,0.59
2003,5,-0.11
2003,6,0.21
2003,7,-1.73
2003,8,-2.62
2003,9,0
2003,10,-3.78
2003,11,-3.32
2003,12,-3.62
2004,1,-3.59
2004,2,-3.63
2004,3,-3.18
2004,4,-0.74
2004,5,-1.08
2004,6,0.28
2004,7,-0.27
2004,8,0.89
2004,9,0
2004,10,1.41
2004,11,3.04
2004,12,2.81
2005,1,3.08
2005,2,4.77
2005,3,4.82
2005,4,5.06
2005,5,5.55
2005,6,4.58
2005,7,2.8
2005,8,2.05
2005,9,0
2005,10,2.09
2005,11,0.98
2005,12,-0.61
2006,1,-1.99
2006,2,-2.72
2006,3,-3.3
2006,4,-3.49
2006,5,-3.6
2006,6,-3.62
2006,7,-3.33
2006,8,2.93
2006,9,0
2006,10,6.59
2006,11,5.73
2006,12,4.81
2007,1,5.49
2007,2,4.87
2007,3,4.35
2007,4,4.57
2007,5,5.77
2007,6,5.14
2007,7,4.79
2007,8,4
2007,9,0
2007,10,1.49
2007,11,0.78
2007,12,0.8
2008,1,0.12
2008,2,-0.72
2008,3,-2.01
2008,4,-2.53
2008,5,-2.86
2008,6,-3.28
2008,7,3.61
2008,8,4.06
2008,9,0
2008,10,3.97
2008,11,3.28
2008,12,2.43
2009,1,1.2
2009,2,-0.5
2009,3,-1.95
2009,4,-2.63
2009,5,-1.85
2009,6,-1.64
2009,7,-1.24
2009,8,-1.76
2009,9,0
2009,10,-1.35
2009,11,-0.59
2009,12,0.86
